PID: COMMAND
1: /usr/lib/systemd/systemd
2: [kthreadd]
3: [rcu_gp]
4: [rcu_par_gp]
6: [kworker/0:0H-kblockd]
8: [mm_percpu_wq]
9: [ksoftirqd/0]
10: [rcu_sched]
11: [migration/0]
12: [watchdog/0]
13: [cpuhp/0]
15: [kdevtmpfs]
16: [netns]
17: [kauditd]
18: [khungtaskd]
19: [oom_reaper]
20: [writeback]
21: [kcompactd0]
22: [ksmd]
23: [khugepaged]
24: [crypto]
25: [kintegrityd]
26: [kblockd]
27: [tpm_dev_wq]
28: [md]
29: [edac-poller]
30: [watchdogd]
33: [kworker/u2:1-events_unbound]
47: [kswapd0]
140: [kthrotld]
141: [acpi_thermal_pm]
142: [kmpath_rdacd]
143: [kaluad]
144: [ipv6_addrconf]
145: [kworker/0:2-mm_percpu_wq]
146: [kstrp]
264: [kworker/0:3-ata_sff]
436: [ata_sff]
440: [scsi_eh_0]
441: [scsi_tmf_0]
442: [scsi_eh_1]
443: [scsi_tmf_1]
445: [kworker/u2:2-events_unbound]
446: [scsi_eh_2]
447: [scsi_tmf_2]
453: [kworker/0:1H-kblockd]
511: [kdmflush]
519: [kdmflush]
555: [jbd2/dm-0-8]
556: [ext4-rsv-conver]
647: /usr/lib/systemd/systemd-journald
673: /usr/lib/systemd/systemd-udevd
728: [kdmflush]
731: [irq/18-vmwgfx]
732: [ttm_swap]
754: [jbd2/sda1-8]
755: [ext4-rsv-conver]
766: [xfsalloc]
767: [xfs_mru_cache]
768: [xfs-buf/dm-2]
769: [xfs-conv/dm-2]
770: [xfs-cil/dm-2]
771: [xfs-reclaim/dm-]
772: [xfs-log/dm-2]
773: [xfs-eofblocks/d]
774: [xfsaild/dm-2]
798: /sbin/auditd
810: [rpciod]
812: [kworker/u3:0]
813: [xprtiod]
826: /usr/sbin/ModemManager
827: /usr/sbin/smartd
829: /usr/sbin/sssd
836: /usr/sbin/mcelog
839: /usr/sbin/gssproxy
858: /usr/libexec/sssd/sssd_be
864: /usr/libexec/platform-python
865: /usr/libexec/sssd/sssd_nss
867: /usr/lib/systemd/systemd-logind
873: /usr/sbin/NetworkManager
886: /usr/sbin/sshd
887: /usr/libexec/platform-python
1115: /usr/sbin/atd
1116: /usr/sbin/crond
1117: login
1409: /usr/lib/systemd/systemd
1414: (sd-pam)
1420: -bash
1476: [kworker/0:0-xfs-sync/dm-2]
1510: [kworker/0:1-events]
1518: bash
1519: ps
1520: awk
